id,time,latitude,longitude,mag,magType,place,type,status,locationSource,state
us7000gzm8,2022-03-30 23:56:20.685000+00:00,-22.0964,170.3002,4.5,mb,"257 km ESE of Tadine, New Caledonia",earthquake,reviewed,us,
us7000gyke,2022-03-30 23:54:31.660000+00:00,-22.482,170.2814,5.1,mb,"268 km ESE of Tadine, New Caledonia",earthquake,reviewed,us,
ak02243ksldw,2022-03-30 23:45:43.190000+00:00,62.1829,-149.5771,1.3,ml,"14 km E of Susitna North, Alaska",earthquake,reviewed,ak,US-AK
ak02243kriyw,2022-03-30 23:40:44.247000+00:00,62.6146,-150.1834,1.3,ml,"18 km NNW of Chase, Alaska",earthquake,reviewed,ak,US-AK
us7000gyka,2022-03-30 23:40:35.807000+00:00,26.8525,126.4075,4.2,mb,"145 km WNW of Naha, Japan",earthquake,reviewed,us,
nc73712441,2022-03-30 23:34:32.680000+00:00,38.7890015,-122.7661667,0.36,md,"2km NNW of The Geysers, CA",earthquake,automatic,nc,US-CA
ci39982183,2022-03-30 23:34:23.840000+00:00,34.0203333,-117.2178333,1.1,ml,"5km SE of Loma Linda, CA",earthquake,reviewed,ci,US-CA
nc73712431,2022-03-30 23:32:59.020000+00:00,38.8036667,-122.7775,0.16,md,"4km NNW of The Geysers, CA",earthquake,reviewed,nc,US-CA
ak02243kpb5g,2022-03-30 23:30:10.445000+00:00,59.2318,-151.4745,1.3,ml,"24 km ESE of Port Graham, Alaska",earthquake,reviewed,ak,US-AK
nn00836390,2022-03-30 23:27:02.905000+00:00,37.1366,-116.2257,0.2,ml,"53 km ENE of Beatty, Nevada",earthquake,reviewed,nn,US-NV
av91053288,2022-03-30 23:25:47.800000+00:00,51.8646666666667,-177.820166666667,-0.3,ml,"81 km W of Adak, Alaska",earthquake,reviewed,av,US-AK
nn00836387,2022-03-30 23:24:47.773000+00:00,37.9765,-117.9202,1.1,ml,"35 km NW of Silver Peak, Nevada",earthquake,automatic,nn,US-NV
us6000hkql,2022-03-30 23:18:26.659000+00:00,53.1597,-166.8283,2.7,ml,"81 km SSW of Unalaska, Alaska",earthquake,reviewed,us,
us7000gyjz,2022-03-30 23:17:09.393000+00:00,-28.7032,-71.4619,5.0,mwr,"70 km WSW of Vallenar, Chile",earthquake,reviewed,us,
